sample	spearman_cor	similarity_score	MT	WT	t_statistic	df	p_value	mean_MT	mean_WT	padj	signif	delta_PSI
One_1	0.707273296817392	5.36755116454481	0.33390611396129	0.203437362876534	6.60557052685781	3.58232439442229	0.00397969152808608	0.33390611396129	0.203437362876534	0.011626891680203	TRUE	0.130468751084756
One_10	0.647217088779819	6.88107143124222	0.263531699711414	0.155953674774871	4.69459414738131	3.73262123925017	0.0110366726370318	0.263531699711414	0.155953674774871	0.024536888273401	TRUE	0.107578024936543
One_100	0.47322768386565	6.33860017592158	0.224047719345982	0.0680899719420076	21.2170353949049	2.10149335893462	0.00173733412847119	0.224047719345982	0.0680899719420076	0.00709174095064468	TRUE	0.155957747403974
One_101	0.698844748168791	7.3178826432117	0.218438434002897	0.122760117790832	16.9886249100281	2.5925113120603	0.000993693380331845	0.218438434002897	0.122760117790832	0.00515355870315293	TRUE	0.095678316212065
One_102	0.614129120327978	6.33334995414611	0.307922339433209	0.196797661579959	3.78290907743009	3.77711275280906	0.0215136842474099	0.307922339433209	0.196797661579959	0.0413660801359465	TRUE	0.11112467785325
One_103	0.611950897668714	6.96701660721268	0.353073010034194	0.201286852921984	9.57173686575414	3.93147099070285	0.000723563131694986	0.353073010034194	0.201286852921984	0.00429911636997329	TRUE	0.15178615711221
One_104	0.581958345980865	4.80915559065753	0.121329462136723	0.0748097831367028	6.12035626620467	2.52743291889491	0.0141571892324006	0.121329462136723	0.0748097831367028	0.0292542748453754	TRUE	0.0465196790000202
One_105	0.536450051921042	5.3089111611291	0.0157221785317874	0.0040857213201247	22.8316954470652	3.90775113993895	2.6359210315352e-05	0.0157221785317874	0.0040857213201247	0.00146388542082546	TRUE	0.0116364572116627
One_106	0.650827158019612	6.20098594550349	0.261127264876435	0.141578628869453	4.70888279753629	3.0821364239221	0.0170589510975813	0.261127264876435	0.141578628869453	0.0338460464007789	TRUE	0.119548636006982
One_107	0.717546451422004	6.87151478710881	0.26202043022958	0.0890713500595848	21.0740316377514	2.04666825200948	0.00200716798932917	0.26202043022958	0.0890713500595848	0.00764786038532131	TRUE	0.172949080169995
One_108	0.678295195948647	6.79018756289233	0.282955959725562	0.149126708924552	7.22753087729874	2.56504726695363	0.00904553352108518	0.282955959725562	0.149126708924552	0.021325232748479	TRUE	0.13382925080101
One_109	0.556047790644703	5.42724545928771	0.296672318007438	0.113795864050539	25.6852674790781	2.02004620042212	0.00143576100760815	0.296672318007438	0.113795864050539	0.0063608640026351	TRUE	0.182876453956899
One_11	0.707631242434653	5.75458312237258	0.379448940378989	0.411035995047739	-1.11729923017862	2.92471080185494	0.347167959187732	0.379448940378989	0.411035995047739	0.42583656077707	FALSE	-0.03158705466875
One_110	0.608459571210322	5.16758935145073	0.288585409035555	0.162356546148597	19.630921049928	2.8489065540514	0.000396066240550783	0.288585409035555	0.162356546148597	0.00332809859869147	TRUE	0.126228862886958
One_111	0.640657191810125	6.86067079309313	0.360865514721645	0.212525017880304	11.4457963840169	3.78125001940571	0.000451306751027885	0.360865514721645	0.212525017880304	0.00336286472507364	TRUE	0.148340496841341
One_112	0.52132511486689	5.13116730233213	0.041671070360025	0.0208302657912151	13.1905131417139	3.99911385603088	0.000191085626201001	0.041671070360025	0.0208302657912151	0.00239225984581716	TRUE	0.0208408045688099
One_113	0.69418080814818	5.89491225707035	0.257928715603313	0.169126922137659	11.7142175686809	2.49873161963365	0.0030163282512961	0.257928715603313	0.169126922137659	0.00956771636398379	TRUE	0.088801793465654
One_114	0.541557321274053	5.65075303685845	0.316158970168045	0.245909746773534	2.865772989818	3.12410873842437	0.0612483025019854	0.316158970168045	0.245909746773534	0.0987108564595104	FALSE	0.070249223394511
One_115	0.605326433991368	4.62018764689043	0.25741242953226	0.251685200399388	0.165770955736367	3.97996791950349	0.876416951303903	0.25741242953226	0.251685200399388	0.905661205655711	FALSE	0.00572722913287199
