sample	annot	name	MT	WT	delta_PSI	delta_PSI_pct	p_value	padj	signif
31	One_126	GC_to_AT_10pct_3	Rep_One_GC_to_AT_MAP_10pct_mutant_3	0.196637957519019	0.0584114060768638	0.138226551442155	13.8226551442155	0.00191951281178687	0.00752690850606191	TRUE
32	One_127	GC_to_AT_10pct_4	Rep_One_GC_to_AT_MAP_10pct_mutant_4	0.271312673313349	0.145356698366173	0.125955974947176	12.5955974947176	0.00248123357374917	0.00882477289299459	TRUE
33	One_128	GC_to_AT_10pct_5	Rep_One_GC_to_AT_MAP_10pct_mutant_5	0.127821139570408	0.0416185358725763	0.0862026036978319	8.62026036978319	0.00262233996358254	0.00882781745531369	TRUE
34	One_129	GC_to_AT_20pct_1	Rep_One_GC_to_AT_MAP_20pct_mutant_1	0.233090434074806	0.32105071731663	-0.0879602832418236	-8.79602832418236	0.0283250024585114	0.0514812088479514	TRUE
35	One_13	Branch_Point	Rep_One_MAP_mut_BP_1_7	0.497710258714831	0.377040238417085	0.120670020297746	12.0670020297746	0.0510915601214176	0.0850956419413577	FALSE
36	One_130	GC_to_AT_20pct_2	Rep_One_GC_to_AT_MAP_20pct_mutant_2	0.3010082509831	0.0769393304726109	0.224068920510489	22.4068920510489	0.000997275964800852	0.00515355870315293	TRUE
37	One_131	GC_to_AT_20pct_3	Rep_One_GC_to_AT_MAP_20pct_mutant_3	0.34434879856495	0.160887129474764	0.183461669090186	18.3461669090186	0.000151004275923981	0.00227879180030735	TRUE
38	One_132	GC_to_AT_20pct_4	Rep_One_GC_to_AT_MAP_20pct_mutant_4	0.232572339785769	0.0983710251218522	0.134201314663917	13.4201314663917	0.0158572954041988	0.0322323800460857	TRUE
39	One_133	GC_to_AT_20pct_5	Rep_One_GC_to_AT_MAP_20pct_mutant_5	0.322486178786979	0.262386529802852	0.0600996489841271	6.00996489841271	0.0792093657057118	0.12288555801073	FALSE
40	One_134	GC_to_AT_30pct_1	Rep_One_GC_to_AT_MAP_30pct_mutant_1	0.300010899855941	0.139130700351198	0.160880199504743	16.0880199504743	5.79500908765474e-05	0.00167395493868689	TRUE
41	One_135	GC_to_AT_30pct_2	Rep_One_GC_to_AT_MAP_30pct_mutant_2	0.329100236260232	0.157641784658908	0.171458451601324	17.1458451601324	0.00197202312207481	0.00761292647126554	TRUE
42	One_136	GC_to_AT_30pct_3	Rep_One_GC_to_AT_MAP_30pct_mutant_3	0.354177297712601	0.192621394615331	0.16155590309727	16.155590309727	0.00439124536380551	0.0123550293286731	TRUE
43	One_137	GC_to_AT_30pct_4	Rep_One_GC_to_AT_MAP_30pct_mutant_4	0.068828274347259	0.0390266180292989	0.0298016563179601	2.98016563179601	0.0339757468219045	0.0599997231110228	TRUE
44	One_138	GC_to_AT_30pct_5	Rep_One_GC_to_AT_MAP_30pct_mutant_5	0.25628500533982	0.140033320761234	0.116251684578586	11.6251684578586	0.015124350179929	0.0311236627669613	TRUE
45	One_139	GC_to_AT_50pct_1	Rep_One_GC_to_AT_MAP_50pct_mutant_1	0.221598351718494	0.101413846442836	0.120184505275658	12.0184505275658	0.000413758031957156	0.00333535012049503	TRUE
