sample	MT	WT	t_statistic	df	p_value	mean_MT	mean_WT	padj
One_70	0.231374571740194	0.119170286893241	8.82546476537855	3.81885223207761	0.001120636725661	0.231374571740194	0.119170286893241	0.00547134401352135
One_71	0.378124204606506	0.16037545185297	23.730772519765	3.82348246715826	2.71013902457518e-05	0.378124204606506	0.16037545185297	0.00146388542082546
One_72	0.177306856438932	0.106999133008113	3.71114785110141	3.55419455573292	0.025403263530743	0.177306856438932	0.106999133008113	0.0473813679337454
One_73	0.493498800875087	0.497018022656373	-1.60733659947315	2.21362573836834	0.23725789777555	0.493498800875087	0.497018022656373	0.315920944096855
One_74	0.171980003772873	0.144229003319912	2.00307046267677	3.18479661125241	0.133583342103432	0.171980003772873	0.144229003319912	0.191162368872153
One_75	0.444364495785326	0.357029345611631	7.42516795770893	2.19330479202399	0.0135984439256392	0.444364495785326	0.357029345611631	0.0285739454640013
One_76	0.141160256455739	0.109069998892972	1.68367700891124	2.08149457074779	0.229393987370586	0.141160256455739	0.109069998892972	0.307919691942188
One_77	0.232708652309093	0.145851977874154	10.4053075252539	2.3182143046186	0.00537765122910886	0.232708652309093	0.145851977874154	0.0142450548515756
One_78	0.47938345070457	0.476915882262063	3.1576268909841	3.69648146041242	0.0382235558035518	0.47938345070457	0.476915882262063	0.0667906343514694
One_79	0.39445125227328	0.228287279378469	8.498462387414	2.81018700502421	0.00436596985663327	0.39445125227328	0.228287279378469	0.0123550293286731
One_8	0.0875737799812895	0.0830528482905711	0.153375043221755	3.98035505135799	0.885563859928871	0.0875737799812895	0.0830528482905711	0.908851368384987
One_80	0.0520816124585357	0.0702219103860782	-1.82259550276146	3.10226070727556	0.162850603450121	0.0520816124585357	0.0702219103860782	0.225904179716324
One_81	0.273169752072151	0.215608465608466	1.52098274446811	2.99375206998691	0.225791967127903	0.273169752072151	0.215608465608466	0.303903782782962
One_82	0.377317598269549	0.381384681727065	-0.641426699792135	3.26450235901807	0.563459421469897	0.377317598269549	0.381384681727065	0.631702190384718
One_83	0.147341583535972	0.078763524014702	4.11528446085393	3.32163886708028	0.0213155524772694	0.147341583535972	0.078763524014702	0.0411439733863572
One_84	0.483655793084784	0.480546429907584	1.27780594475849	2.67441282539621	0.300952494868353	0.483655793084784	0.480546429907584	0.383310338732583
One_85	0.197464902684775	0.116627890802877	4.55699187790575	2.39412934835032	0.0316998560060007	0.197464902684775	0.116627890802877	0.0568794435801032
One_86	0.350546156497776	0.231159433874407	5.6437871855005	3.13665897622448	0.00975381767149777	0.350546156497776	0.231159433874407	0.0224879685203976
One_87	0.214798358709417	0.154861707096714	2.40566455476985	2.87977914444806	0.0989820819920757	0.214798358709417	0.154861707096714	0.147143512931504
One_88	0.259832774187298	0.167618230097369	3.21851037344045	3.26421622094589	0.0431814026100944	0.259832774187298	0.167618230097369	0.073898070446141
One_89	0.323423983081787	0.249335916749155	2.49621157098497	3.31668396731489	0.0799544324185578	0.323423983081787	0.249335916749155	0.123273397351213
One_9	0.00917926405886768	0.00327139413127736	7.02831196595756	2.29993931197188	0.0133633405059559	0.00917926405886768	0.00327139413127736	0.028198913440534
One_90	0.135348203784314	0.0886841936236516	2.35465633695243	3.35990847466811	0.0905503006608167	0.135348203784314	0.0886841936236516	0.135733374425137
One_91	0.143073803449645	0.0629753503658644	20.121050733332	3.99290973546004	3.65062032355103e-05	0.143073803449645	0.0629753503658644	0.00146388542082546
One_92	0.371693411140263	0.209556225336308	5.21112125439949	2.22843895027083	0.027635795268333	0.371693411140263	0.209556225336308	0.0507845979469735
One_93	0.341811361933792	0.14281354181327	16.2490079021182	3.97332949410295	8.78777586015114e-05	0.341811361933792	0.14281354181327	0.0019678946966593
One_94	0.171551078951801	0.241896928334708	-2.1685718050687	3.77029956335489	0.100123961215198	0.171551078951801	0.241896928334708	0.148173651902702
One_95	0.338428436859946	0.197120469861789	5.65237874356876	2.55874658002974	0.0166026647356701	0.338428436859946	0.197120469861789	0.0332053294713402
One_96	0.320215809384514	0.254116784598712	2.15018622808499	2.56666180142138	0.13577741995334	0.320215809384514	0.254116784598712	0.192094190729441
One_97	0.0977615007761875	0.0438912359897314	7.38764166081541	3.14838901416575	0.00434196160378649	0.0977615007761875	0.0438912359897314	0.0123550293286731
One_98	0.0693067924203329	0.0218244628234206	5.54947462607904	3.86227934322682	0.00571570058225716	0.0693067924203329	0.0218244628234206	0.0149027167013826
One_99	0.03347957978639	0.0225897096511833	1.88807122016648	3.83122044345822	0.135182117108543	0.03347957978639	0.0225897096511833	0.192094190729441
Two_1	0.364868227691633	0.290335101925919	1.94817408566849	3.05326742986064	0.144931392292964	0.364868227691633	0.290335101925919	0.202741104949146
Two_10	0.24891632995805	0.130846710335429	23.5206358814286	3.43846641854127	6.38657506727931e-05	0.24891632995805	0.130846710335429	0.00167395493868689
Two_100	0.16736508989991	0.0704342962292111	9.82915685421269	3.99997739948301	0.000600771131459745	0.16736508989991	0.0704342962292111	0.00404302734414802
Two_101	0.32329525952044	0.138574780890641	12.3619896596598	3.99743489298088	0.000247004893315241	0.32329525952044	0.138574780890641	0.00278649608125234
Two_102	0.193610672699781	0.122876783554863	3.15817851962795	3.91827099287735	0.0352388776739148	0.193610672699781	0.122876783554863	0.0620104631858996
Two_103	0.340965877823053	0.193092886633718	9.10325169097428	3.97728618180097	0.000829345541338783	0.340965877823053	0.193092886633718	0.00453861625919466
Two_104	0.310262201012635	0.219715075071394	4.42141206925984	3.81385553881877	0.0127920952072876	0.310262201012635	0.219715075071394	0.0274588940225398
Two_105	0.00883462205069125	0.00350907821277549	2.37965365148912	2.58069174608586	0.111681993622437	0.00883462205069125	0.00350907821277549	0.16268296369828
Two_106	0.24810647586102	0.0944053743302433	16.032515544531	2.36942425689154	0.00179884972893316	0.24810647586102	0.0944053743302433	0.007224412621038
Two_107	0.149672939347887	0.145948062432553	0.237225123067693	3.88748475405471	0.824456932385519	0.149672939347887	0.145948062432553	0.862073382061099
Two_108	0.0926980267870711	0.0387095990859597	7.61133497655432	3.18283171015441	0.00381678268682735	0.0926980267870711	0.0387095990859597	0.0114147741943816
Two_109	0.0980576953739943	0.0806110291777115	0.742892897719903	3.0009185107184	0.511415449545117	0.0980576953739943	0.0806110291777115	0.586831552703844
