sample	mean_C3SS_ratio	delta_C3SS_ratio	t_statistic	df	p_value	p_adj
One_205	0.0311515660482114	0	NA	NA	NA	NA
One_1	0.203437362876534	0.172285796828322	10.5367597515016	2.08696611652463	0.00766418756722233	0.0154768758571566
One_10	0.155953674774871	0.124802108726659	6.78314126804772	2.06838325704878	0.0192792141434843	0.0272492875077328
One_100	0.0680899719420076	0.0369384058937963	13.9321045876919	2.89100786318644	0.00096878311689821	0.00430067798741474
One_101	0.122760117790832	0.0916085517426204	29.1661129075038	3.90750803090881	1.01779096596756e-05	0.000168203252250603
One_102	0.196797661579959	0.165646095531747	7.11537096742368	2.04244863129485	0.0181291999838228	0.0259660299480114
One_103	0.201286852921984	0.170135286873773	15.8772501706266	2.20804426333188	0.00255508528023852	0.00814023964281119
One_104	0.0748097831367028	0.0436582170884914	12.3341884315211	3.96683290223439	0.000260532662813297	0.00164151208346613
One_105	0.0040857213201247	-0.0270658447280867	-11.2369985110295	2.07722380202156	0.00682860504628128	0.0150168880885035
One_106	0.141578628869453	0.110427062821242	4.91963130484751	2.04569684898745	0.0371880813372791	0.0459763095139993
One_107	0.0890713500595848	0.0579197840113734	22.773375219346	2.53596066146119	0.000532087425470723	0.00272626237586546
One_108	0.149126708924552	0.11797514287634	16.8705567707118	2.5178944152341	0.00117660675181612	0.00495570809875096
One_109	0.113795864050539	0.0826442980023279	33.8968239932765	2.1773080710399	0.000524977395340277	0.00271785172379289
One_11	0.411035995047739	0.379884428999528	14.9276127728373	2.03546272747805	0.00414489196084938	0.0113650070513221
One_110	0.162356546148597	0.131204980100385	36.0803143250074	3.92397227562307	4.26336146033676e-06	8.1495794068745e-05
One_111	0.212525017880304	0.181373451832092	17.3030443800549	2.21787053075762	0.00207165143096438	0.00710076387027103
One_112	0.0208302657912151	-0.0103213002569963	-3.91273915442924	2.84824387961293	0.0325743837972599	0.0415114583262518
One_113	0.169126922137659	0.137975356089448	39.5782950548333	3.98400983679178	2.53817338793043e-06	6.69115890579511e-05
One_114	0.245909746773534	0.214758180725323	9.95675754242734	2.04953482864697	0.00915558083050273	0.0164866799737676
One_115	0.251685200399388	0.220533634351177	8.68450328802129	2.03561647628411	0.0123141902147287	0.0198706251192214
One_116	0.163731835201898	0.132580269153686	9.25136725299401	2.113920510175	0.00959953941605713	0.0168561941591609
One_117	0.0201910370799574	-0.0109605289682539	-2.83598418659487	3.78573322926138	0.0501732011053573	0.0596556960511067
One_118	0.407090697114498	0.375939131066287	20.5446205865468	2.06914675487945	0.00200507387933578	0.00696868334286632
One_119	0.171160763473297	0.140009197425085	8.6885363864022	2.08959463507622	0.0113394061046491	0.0186612080596377
One_12	0.081886721401475	0.0507351553532636	2.84237397849399	2.07273175398028	0.100549461290757	0.112551987075464
One_120	0.393107846001682	0.36195627995347	14.9582598003989	2.03925953327922	0.0040957807423272	0.0113650070513221
One_121	0.329049364509353	0.297897798461141	9.38647575129168	2.02273068100638	0.0107616111557778	0.0180678209431844
